OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	ActivityTypeCode	ActivityMediaName	ActivityMediaSubdivisionName	ActivityStartDate	ActivityStartTime/Time	ActivityStartTime/TimeZoneCode	ActivityEndDate	ActivityEndTime/Time	ActivityEndTime/TimeZoneCode	ActivityRelativeDepthName	ActivityDepthHeightMeasure/MeasureValue	ActivityDepthHeightMeasure/MeasureUnitCode	ActivityDepthAltitudeReferencePointText	ActivityTopDepthHeightMeasure/MeasureValue	ActivityTopDepthHeightMeasure/MeasureUnitCode	ActivityBottomDepthHeightMeasure/MeasureValue	ActivityBottomDepthHeightMeasure/MeasureUnitCode	ProjectIdentifier	ActivityConductingOrganizationText	MonitoringLocationIdentifier	ActivityCommentText	SampleAquifer	HydrologicCondition	HydrologicEvent	ActivityLocation/LatitudeMeasure	ActivityLocation/LongitudeMeasure	ActivityLocation/SourceMapScaleNumeric	ActivityLocation/HorizontalAccuracyMeasure/MeasureValue	ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode	ActivityLocation/HorizontalCollectionMethodName	ActivityLocation/HorizontalCoordinateReferenceSystemDatumName	AssemblageSampledName	CollectionDuration/MeasureValue	CollectionDuration/MeasureUnitCode	SamplingComponentName	SamplingComponentPlaceInSeriesNumeric	ReachLengthMeasure/MeasureValue	ReachLengthMeasure/MeasureUnitCode	ReachWidthMeasure/MeasureValue	ReachWidthMeasure/MeasureUnitCode	PassCount	NetTypeName	NetSurfaceAreaMeasure/MeasureValue	NetSurfaceAreaMeasure/MeasureUnitCode	NetMeshSizeMeasure/MeasureValue	NetMeshSizeMeasure/MeasureUnitCode	BoatSpeedMeasure/MeasureValue	BoatSpeedMeasure/MeasureUnitCode	CurrentSpeedMeasure/MeasureValue	CurrentSpeedMeasure/MeasureUnitCode	ToxicityTestType	SampleCollectionMethod/MethodIdentifier	SampleCollectionMethod/MethodIdentifierContext	SampleCollectionMethod/MethodName	SampleCollectionMethod/MethodQualifierTypeName	SampleCollectionMethod/MethodDescriptionText	SampleCollectionEquipmentName	SampleCollectionMethod/SampleCollectionEquipmentCommentText	SamplePreparationMethod/MethodIdentifier	SamplePreparationMethod/MethodIdentifierContext	SamplePreparationMethod/MethodName	SamplePreparationMethod/MethodQualifierTypeName	SamplePreparationMethod/MethodDescriptionText	SampleContainerTypeName	SampleContainerColorName	ChemicalPreservativeUsedName	ThermalPreservativeUsedName	SampleTransportStorageDescription	BinaryObjectFileName	BinaryObjectFileTypeCode	ActivityFileUrl	ActivityMetricUrl	ActivityGroupUrl	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WKB200902:FM:WB:	Field Msr/Obs	Water		2020-09-02	08:13:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-WKB					20.6959390000	-156.4446320000																															Water Bottle	HACH 2100Q																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NSB190228:FM:WB:	Field Msr/Obs	Water		2019-02-28	09:00:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-NSB					20.7842040000	-156.4664630000																															Water Bottle	HACH 2100Q																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKP190115:SR:WB:	Sample-Routine	Water		2019-01-15	09:30:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-KKP					20.7309730000	-156.4537200000																															Water Bottle																	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKS190924:FM:PS:DO:	Field Msr/Obs	Water		2019-09-24	09:05:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-KKS					20.7473340000	-156.4578810000																															Probe/Sensor	HACH LDO101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MMB180221:SR:WB:	Sample-Routine	Water		2018-02-21	08:30:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-MMB					20.6455980000	-156.4438590000																															Water Bottle																	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KCP181002:FM:PS:TS:	Field Msr/Obs	Water		2018-10-02	09:10:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-KCP					20.7274340000	-156.4500770000																															Probe/Sensor	HACH CDC401																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH201202:FM:PS:DO:	Field Msr/Obs	Water		2020-12-02	08:45:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-PLH					20.8648500000	-156.6737400000																															Probe/Sensor	HACH LDO101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKO171121:FM:PS:PH:	Field Msr/Obs	Water		2017-11-21	09:34:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-KKO					20.7219850000	-156.4481830000																															Probe/Sensor	HACH PHC101																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON171006:FM:PS:TS:	Field Msr/Obs	Water		2017-10-06	09:15:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-RON					21.0040560000	-156.6589400000																															Probe/Sensor	HACH CDC401																STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NMC191212:FM:PS:PH:	Field Msr/Obs	Water		2019-12-12	07:55:00	HAST												HUI_PCHEM		HUIWAIOLA_WQX-NMC					20.7949170000	-156.5067350000																															Probe/Sensor	HACH PHC101																STORET
