Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Result UID	Characteristic	Fraction	Statistic	Value	Unit	Value Type	Detection Condition	Biological Intent	Taxon Name	Status	Last Changed
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973294	Nitrate + Nitrite	"Filtered, field"		4.24	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	PLT	Lahaina Town	PLT160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973295	Ammonium	"Filtered, field"		2.57	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973296	"Temperature, water"			27.4	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:FM:PS:TS:	06-15-2016	Field Msr/Obs	Water		864973297	Salinity			29.6	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973298	Dissolved oxygen (DO)			6.94	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:FM:PS:DO:	06-15-2016	Field Msr/Obs	Water		864973299	Dissolved oxygen saturation			106.1	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:FM:WB:	06-15-2016	Field Msr/Obs	Water		864973300	Turbidity			1.19	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:FM:PS:PH:	06-15-2016	Field Msr/Obs	Water		864973301	pH			8.11	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973302	"Total Nitrogen, mixed forms"	"Filtered, field"		71.07	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973303	"Total Phosphorus, mixed forms"	"Filtered, field"		14.41	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973304	Orthophosphate	"Filtered, field"		4.85	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973305	Silicate	"Filtered, field"		72.90	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973306	Nitrate + Nitrite	"Filtered, field"		4.07	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OSF	Olowalu Shore Front	OSF160615:SR:WB:	06-15-2016	Sample-Routine	Water		864973307	Ammonium	"Filtered, field"		2.80	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:FM:PS:TS:	06-16-2016	Field Msr/Obs	Water		864973308	"Temperature, water"			25.3	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:FM:PS:TS:	06-16-2016	Field Msr/Obs	Water		864973309	Salinity			29.3	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:FM:PS:DO:	06-16-2016	Field Msr/Obs	Water		864973310	Dissolved oxygen (DO)			6.86	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:FM:PS:DO:	06-16-2016	Field Msr/Obs	Water		864973311	Dissolved oxygen saturation			101.2	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:FM:WB:	06-16-2016	Field Msr/Obs	Water		864973312	Turbidity			23.30	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:FM:PS:PH:	06-16-2016	Field Msr/Obs	Water		864973313	pH			7.96	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973314	"Total Nitrogen, mixed forms"	"Filtered, field"		78.22	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973315	"Total Phosphorus, mixed forms"	"Filtered, field"		10.80	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973316	Orthophosphate	"Filtered, field"		7.56	ug/l	Actual				Final	11-27-2020 3:30:51 PM
